,PROFILEMENTION_1,COMPANYMENTION_1,POLL_1,CONTENT_Document,CONTENT_Image,CONTENT_Poll,CONTENT_Text,CONTENT_Video (external),CONTENT_Video (native),LINKS_1,LINKS_2,TAGS_1-5,TAGS_6 and more,EMOJIS_1,CHARACTER_COUNT,AGE_IN_DAYS,ENGAGEMENT
261,0,1,0,0,1,0,0,0,0,0,0,0,1,0,40.80441152620633,6.164414002968976,150
262,1,1,0,0,1,0,0,0,0,0,0,1,0,0,27.110883423451916,6.244997998398398,2724
263,0,1,0,0,0,0,0,1,0,0,0,0,0,0,12.489995996796797,6.324555320336759,54
264,0,0,0,0,1,0,0,0,0,1,0,1,0,0,26.720778431774775,6.324555320336759,746
265,1,0,0,0,1,0,0,0,0,0,0,1,0,0,12.409673645990857,6.48074069840786,1339
266,1,0,0,0,1,0,0,0,0,0,0,1,0,1,26.68332812825267,6.557438524302,13143
267,1,0,0,0,1,0,0,0,0,0,0,1,0,0,18.681541692269406,6.708203932499369,3483
268,1,0,0,0,1,0,0,0,0,0,0,1,0,1,24.020824298928627,6.782329983125268,3716
269,1,0,0,0,1,0,0,0,0,0,0,1,0,1,29.46183972531247,6.855654600401044,7499
270,1,0,0,0,1,0,0,0,0,0,0,1,0,0,38.742741255621034,6.928203230275509,12857
271,1,0,0,0,1,0,0,0,0,0,0,1,0,0,16.278820596099706,7.211102550927978,6392
272,1,0,0,0,1,0,0,0,0,0,0,1,0,0,27.76688675382964,7.211102550927978,5443
273,1,0,0,0,1,0,0,0,0,0,0,1,0,0,13.490737563232042,7.416198487095663,167576
274,1,0,0,0,1,0,0,0,0,0,0,1,0,0,23.49468024894146,7.483314773547883,7186
275,1,0,0,0,0,0,1,0,0,0,0,0,0,1,13.892443989449804,7.681145747868608,1133
276,1,0,0,0,1,0,0,0,0,0,0,1,0,1,25.238858928247925,8.12403840463596,2300
277,1,0,0,0,1,0,0,0,0,0,0,1,0,0,29.478805945967352,8.18535277187245,1895
278,1,0,0,0,1,0,0,0,0,0,0,1,0,0,19.390719429665317,8.246211251235321,28723
279,0,1,0,0,0,0,0,0,0,1,0,1,0,0,13.416407864998739,0.0,163
280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.855654600401044,1.0,5032
